Name,Description,Platforms,Versions,StoreLink,Price,Category 
Youtube,"See what the world is watching -- from the hottest music videos to what’s popular in gaming, fashion, beauty, news, learning and more. Subscribe to channels you love, create content of your own, share with friends, and watch on any device.","Apple, Google Play, Microsoft",16,https://play.google.com/store/apps/details?id=com.google.android.youtube&hl=en_US&gl=US,Free,Streaming
Netflix,,,,,,Streaming
Roblox,,,,,,Game
Subway Sufers,,,,,,Game
Candy Crush,,,,,,Game
Soundcloud,,,,,,Music
Spotify,,,,,,Music
Snapchat,,,,,,Social Media
Instagram,,,,,,Social Media
Canvas,,,,,,Education
